"행정구역(시군구)별","연령별","항목","단위","2023.01 월","2023.02 월","2023.03 월","2023.04 월","2023.05 월","2023.06 월","2023.07 월","2023.08 월","2023.09 월","1970 년","1971 년","1972 년","1973 년","1974 년","1975 년","1976 년","1977 년","1978 년","1979 년","1980 년","1981 년","1982 년","1983 년","1984 년","1985 년","1986 년","1987 년","1988 년","1989 년","1990 년","1991 년","1992 년","1993 년","1994 년","1995 년","1996 년","1997 년","1998 년","1999 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"울산광역시","25 - 29세","시도간전출[명]","명","765","969","898","645","700","657","684","692","470","","","","","","","","","","","","","","","","","","","","","","","","","","","","9951","9989","9171","8110","7720","8402","8890","8623","9291","9714","9356","8885","8942","8718","7725","7242","6957","7395","7983","8233","8592","9085","8937","9619","9767","8736",
"울산광역시","30 - 34세","총전입[명]","명","1063","1247","1265","1044","1195","1350","1336","1350","1127","","","","","","","","","","","","","","","","","","","","","","","","","","","","26865","23996","26907","24776","24340","23807","27097","24812","22952","22413","22404","22301","19492","20697","21783","22647","23282","25140","23037","19428","16988","14972","16288","15549","15081","13476",
"울산광역시","30 - 34세","총전출[명]","명","1044","1200","1265","1085","1229","1381","1404","1382","1188","","","","","","","","","","","","","","","","","","","","","","","","","","","","27260","25210","27411","23978","23078","23343","26415","24068","22397","21904","21586","21028","19538","20382","20346","20612","21719","23575","22011","19702","17839","15927","16855","16443","16059","13958",
"울산광역시","30 - 34세","순이동[명]","명","19","47","0","-41","-34","-31","-68","-32","-61","","","","","","","","","","","","","","","","","","","","","","","","","","","","-395","-1214","-504","798","1262","464","682","744","555","509","818","1273","-46","315","1437","2035","1563","1565","1026","-274","-851","-955","-567","-894","-978","-482",
"울산광역시","30 - 34세","시도내이동-시군구내[명]","명","271","324","345","339","354","493","471","449","354","","","","","","","","","","","","","","","","","","","","","","","","","","","","9555","8093","9273","8201","7851","8323","9024","8506","7659","7521","7417","7100","6229","6575","7119","7297","7595","7922","6900","6862","5373","4639","5169","5011","4719","4018",
"울산광역시","30 - 34세","시도내이동-시군구간 전입[명]","명","361","429","430","346","459","480","504","506","446","","","","","","","","","","","","","","","","","","","","","","","","","","","","9611","9306","10138","8817","8833","8370","9960","9021","8068","7825","7890","7938","7151","7412","7210","7335","7452","8796","8393","6511","6422","5759","6447","5839","5898","5069",
"울산광역시","30 - 34세","시도내이동-시군구간 전출[명]","명","361","429","430","346","459","480","504","506","446","","","","","","","","","","","","","","","","","","","","","","","","","","","","9611","9306","10138","8817","8833","8370","9960","9021","8068","7825","7890","7938","7151","7412","7210","7335","7452","8796","8393","6511","6422","5759","6447","5839","5898","5069",
"울산광역시","30 - 34세","시도간전입[명]","명","431","494","490","359","382","377","361","395","327","","","","","","","","","","","","","","","","","","","","","","","","","","","","7699","6597","7496","7758","7656","7114","8113","7285","7225","7067","7097","7263","6112","6710","7454","8015","8235","8422","7744","6055","5193","4574","4672","4699","4464","4389",
"울산광역시","30 - 34세","시도간전출[명]","명","412","447","490","400","416","408","429","427","388","","","","","","","","","","","","","","","","","","","","","","","","","","","","8094","7811","8000","6960","6394","6650","7431","6541","6670","6558","6279","5990","6158","6395","6017","5980","6672","6857","6718","6329","6044","5529","5239","5593","5442","4871",
"울산광역시","35 - 39세","총전입[명]","명","708","850","778","688","752","1141","913","895","737","","","","","","","","","","","","","","","","","","","","","","","","","","","","19227","17286","18681","17021","17162","16837","19649","18817","17404","18252","18545","19670","16677","16565","16332","15455","15275","17203","16469","14973","14767","13613","15196","13499","11591","9067",
