"성별","행정구역별","연령별","항목","단위","2013. 1/2","2013. 2/2","2014. 1/2","2014. 2/2","2015. 1/2","2015. 2/2","2016. 1/2","2016. 2/2","2017. 1/2","2017. 2/2","2018. 1/2","2018. 2/2","2019. 1/2","2019. 2/2","2020. 1/2","2020. 2/2","2021. 1/2","2021. 2/2","2022. 1/2","2022. 2/2",
"전체","경상남도","계","광업","","2.74005",".006",".006",".007",".007",".008",".007",".008",".01","1.44153","1.57336","1.65704","1.90279","2.24295","2.33421",".006",".006",".006",".004",".013",
"전체","경상남도","계","제조업","","430.13908","430.60864","445.25269","441.75934","459.83612","444.29416","437.56602","426.56978","424.47369","426.97091","415.41881","415.71487","383.94892","400.56817","403.85499","368.5947","378.58992","368.15073","407.32809","386.00809",
"전체","경상남도","계","전기,가스,증기 및 수도사업","","5.60421","5.67556","5.14435","7.24043","7.35768","7.57843","5.06699","5.66145","5.8084","5.19379","6.16624","5.52224","6.44814","7.15241","5.19953","5.29277","3.21211","3.24818","2.81995","5.72794",
"전체","경상남도","계","하수·폐기물처리,원료재생 및 환경복원업","","6.91648","6.85079","6.98545","7.52388","9.21266","10.10941","8.60604","8.38713","8.17312","6.3916","8.73784","11.32095","10.13122","9.93421","9.07437","10.05784","16.01681","15.94221","12.98399","11.33216",
"전체","경상남도","계","건설업","","102.86636","96.56488","95.25492","83.4276","86.26736","83.60606","83.10514","85.41479","93.45823","103.74997","92.35189","95.09609","86.26628","97.87978","95.94989","111.72772","106.7815","112.37325","104.58768","107.33358",
"전체","경상남도","계","도소매업","","183.88456","188.6892","195.3592","205.57746","210.47955","204.04012","197.86288","209.62577","202.72171","205.36898","184.9027","188.24484","202.17351","193.62209","190.11505","177.64965","177.79313","170.19134","159.35649","147.99427",
"전체","경상남도","계","운수업","","87.71293","86.37255","85.12746","89.11064","100.89367","98.48136","94.81238","97.68377","91.19644","88.82437","95.79615","91.72495","91.20647","93.25309","96.39369","96.52567","90.46015","89.55114","88.02052","96.1454",
"전체","경상남도","계","숙박 및 음식점업","","112.80313","115.10367","111.51321","112.18319","112.62484","129.81669","140.68881","147.31723","154.215","164.57702","158.02161","145.5432","161.02636","160.17374","148.72182","144.15885","153.17292","136.97902","141.33906","137.45385",
"전체","경상남도","계","출판,영상,방송통신 및 정보서비스업","","18.36148","15.84135","18.03809","17.80107","22.07098","22.1057","18.73257","20.17709","18.65662","14.83864","15.43108","15.62953","15.58469","14.1275","15.50889","14.78274","15.86777","16.43344","16.95057","17.27578",
"전체","경상남도","계","금융 및 보험업","","36.11226","42.49325","43.22927","40.35667","44.0306","49.11197","42.55217","43.05745","38.48888","34.74906","37.76824","40.2221","37.76833","38.36194","40.30585","41.91816","39.66654","35.03416","34.72573","39.11348",
"전체","경상남도","계","부동산업 및 임대업","","21.45942","22.69667","20.04918","23.53098","20.70125","20.9952","19.78534","22.72796","29.36192","28.71035","25.87255","24.5924","24.23594","26.83585","20.42545","21.45654","22.94306","24.02429","21.81983","21.09443",
"전체","경상남도","계","전문,과학 및 기술서비스업","","31.20977","34.57163","33.83588","34.561","31.80351","31.62774","31.59438","32.55669","29.28532","36.93324","31.93153","34.73977","38.57709","33.75026","31.22601","35.06237","36.80051","31.56212","30.17142","36.24456",
"전체","경상남도","계","사업시설관리 및 사업지원 서비스업","","39.51155","36.70689","46.86028","45.36437","47.5039","48.40275","52.48172","50.81563","57.42665","48.89678","51.74621","53.44016","50.42221","54.99121","48.93451","57.00966","55.64432","57.5637","53.20496","49.0372",
"전체","경상남도","계","공공행정,국방 및 사회보장행정","","84.31447","80.25161","79.89173","74.96972","77.60644","75.81429","81.57009","80.1038","85.65698","82.75559","89.76599","94.54383","92.62436","85.07676","77.50266","83.92095","87.05597","85.3592","90.87621","91.21421",
"전체","경상남도","계","교육서비스업","","96.70444","105.83763","105.38961","102.88096","95.59989","108.03141","98.78281","97.76107","109.97251","99.82696","101.04122","108.08671","110.32331","103.05671","95.53352","97.87857","102.52517","108.05411","106.34745","107.3757",
"전체","경상남도","계","보건업 및 사회복지서비스업","","93.60569","101.6419","101.75429","101.97494","99.83097","112.63185","106.6963","112.67508","110.75815","110.07266","118.16449","125.23459","127.60155","138.06824","140.43424","158.84511","166.40185","180.25867","173.79215","173.43725",
"전체","경상남도","계","예술,스포츠 및 여가관련 서비스업","","21.17626","19.05243","19.39307","20.14464","23.85647","23.26609","22.69936","22.88305","25.06501","26.40074","28.60633","25.09753","27.98621","27.61937","23.80442","23.88089","22.79283","26.99785","26.11516","26.4029",
"전체","경상남도","계","협회 및 단체,수리 기타 개인서비스업","","77.83577","72.45132","64.59035","58.80515","55.49213","67.29335","71.75898","73.38626","68.80973","72.8669","78.50496","74.60698","81.11492","73.76159","68.52289","72.15205","71.55744","63.05444","67.36977","59.11494",
"전체","경상남도","계","가구내 고용활동 및 달리 분류되지 않는 자가소비생산활동","","7.00015","3.83748","6.44531","6.28778","7.05078","4.84685","4.32402","4.99127","5.82562","4.17278",".98568","2.28789","2.6065","5.08198","3.2286","5.60123","4.61765","2.99667","2.61431","2.51972",
"전체","경상남도","계","국제 및 외국기관","","0",".04648","0","0",".09145",".13567","0",".08137","0","","0","0","0","0","0","-","-",".20658",".28251","0",
"전체","경상남도","15~19세","합계","","6.68097","12.88982","6.33729","6.96285","10.66373","10.30374","10.22536","11.18654","11.76541","11.68326","13.3132","7.63429","14.19004","9.47477","6.22294","6.9646","10.87691","8.65343","8.63162","5.58352",
"전체","경상남도","15~19세","농림어업","",".04773",".07044","0","0",".06243","0","0",".03368",".03947","0","0",".0734","0","0","0","0",".08006","0","0",".2821",
"전체","경상남도","15~19세","광업","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"전체","경상남도","15~19세","제조업","","1.6624","2.27462","1.05472","1.09758","1.7611","1.25404","1.40875","2.1446","2.00089","2.44368","3.44557","1.59731","3.78357","1.75131","1.5764","1.54615","3.02208","1.25292","1.55521","1.00403",
"전체","경상남도","15~19세","전기,가스,증기 및 수도사업","",".08562",".0445",".02547","0","0","0","0",".03283","0","0","0","0","0","0","0","0","0","0","0","0",
"전체","경상남도","15~19세","하수·폐기물처리,원료재생 및 환경복원업","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"전체","경상남도","15~19세","건설업","",".08287",".332",".21734",".23672",".06949",".14154",".01457",".15033",".16172","0",".27579","0",".69926","0",".09417","0",".14332",".17794",".61407",".12557",
"전체","경상남도","15~19세","도소매업","","1.75885","3.78457","1.37802","1.91384","3.51728","2.91571","1.93792","1.93861","2.61146","3.17395","3.04519","1.43124","2.35488","1.26727",".19764",".91203","1.64324",".151","1.74944",".42594",
"전체","경상남도","15~19세","운수업","",".01676",".23493",".15785","0",".28651",".25707",".45006",".23454","0","0","0","0",".36422","0","0",".42617",".44027",".4882","0",".06876",
"전체","경상남도","15~19세","숙박 및 음식점업","","2.12163","3.50571","2.04254","2.10643","3.60877","3.95423","4.04582","4.33119","4.39967","4.87661","4.2746","3.02118","4.95274","3.51636","2.83495","2.78784","3.63326","4.93925","3.52253","1.82086",
"전체","경상남도","15~19세","출판,영상,방송통신 및 정보서비스업","",".09914","0","0","0",".05859","0","0",".23087",".09959","0","0","0","0","0","0","0","0","0","0",".11482",
"전체","경상남도","15~19세","금융 및 보험업","",".08097",".02763",".185",".19426",".01656","0",".13514",".11684",".30453",".22123",".23399","0",".17143",".02933",".04999",".06436","0","0","0","0",
"전체","경상남도","15~19세","부동산업 및 임대업","","0","0","0","0","0",".07603","0","0","0","0","0","0","0","0","0","0",".26191","0","0","0",
"전체","경상남도","15~19세","전문,과학 및 기술서비스업","","0",".17961",".08188",".30764",".18917",".10951","0","0",".36108","0",".35825","0","0","0","0","0","0","0","0","0",
"전체","경상남도","15~19세","사업시설관리 및 사업지원 서비스업","",".01757",".2971","0",".28667","0",".52849",".21737",".18674",".08935","0","0",".07818",".16088",".58748","0",".19835",".29974","0","0",".23559",
"전체","경상남도","15~19세","공공행정,국방 및 사회보장행정","",".0147",".04599",".29918",".1719",".31244","0",".16658",".07542","0","0",".65966","0",".10971","0","0","0","0","0",".03888","0",
"전체","경상남도","15~19세","교육서비스업","",".0644",".63961",".37745","0","0",".42875",".32621",".30939",".24332",".11485",".12339",".03388",".20339",".53938",".67162",".42667",".34024",".38369",".43153",".07256",
"전체","경상남도","15~19세","보건업 및 사회복지서비스업","",".04774",".20918",".09722",".02893",".09768",".04845",".0699",".33989",".15529",".03859",".11",".12345",".36614",".05209","0","0",".39879","0","0",".15474",
"전체","경상남도","15~19세","예술,스포츠 및 여가관련 서비스업","",".13722",".96984",".33263",".36605",".57274",".14314",".83222",".70937",".43438",".67494",".67006",".78348",".30591","1.2807",".67347",".60305",".61401",".89813",".29187",".21989",
"전체","경상남도","15~19세","협회 및 단체,수리 기타 개인서비스업","",".44339",".27411",".08799",".25282",".11099",".44677",".62083",".35225",".86468",".13939",".11671",".49218",".71791",".45084",".1247","0","0",".3623",".42811","1.05866",
"전체","경상남도","15~19세","가구내 고용활동 및 달리 분류되지 않는 자가소비생산활동","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"전체","경상남도","15~19세","국제 및 외국기관","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","-","-","0","0","0",
"전체","경상남도","20~29세","합계","","190.21763","185.14929","189.72672","192.4937","188.57305","200.41845","212.78735","214.06454","204.97974","196.40176","182.73565","195.7242","196.28991","186.43626","181.87244","169.47982","190.21971","182.21048","186.67592","176.05088",
"전체","경상남도","20~29세","농림어업","","1.53682","2.21792","1.50059","1.80647","1.14958","1.68346","2.22516","2.81111","2.57316","2.37039","2.06266","3.67928","2.97936","2.30147","3.08696","3.77954","3.53551","3.17828","2.66203","2.79526",
"전체","경상남도","20~29세","광업","","0",".001","0","0",".001",".001","0",".001",".001",".05956",".18737",".26551",".54965",".49081",".34942",".001",".001",".001",".001","0",
"전체","경상남도","20~29세","제조업","","66.71169","59.45841","63.90378","56.04628","63.7025","58.7462","59.91846","62.46746","56.45201","59.8308","53.64629","55.91997","47.49786","45.30343","46.554","42.37403","47.24099","46.52552","48.77854","44.08804",
"전체","경상남도","20~29세","전기,가스,증기 및 수도사업","",".67213",".47851",".39373",".51996",".5236","1.64557","1.08129","1.26132",".95778",".66434",".69542",".91776",".54539",".88904",".10425",".45869",".57336",".86163",".75449",".94955",
"전체","경상남도","20~29세","하수·폐기물처리,원료재생 및 환경복원업","",".05146",".13921",".38662",".43508",".88721","1.17009","1.87188",".49382",".19231",".44775",".65134",".52907",".15106",".29229",".26612",".55649",".84358",".97572",".45596",".5343",
"전체","경상남도","20~29세","건설업","","4.91699","7.54793","8.1398","3.64456","4.78261","4.40676","4.37714","4.29426","6.00509","7.71713","5.70683","6.25022","6.29477","8.97145","6.39246","4.34746","2.83101","4.38848","6.82512","6.12387",
"전체","경상남도","20~29세","도소매업","","18.77318","21.1216","20.4477","26.94287","28.66895","27.04582","29.08867","27.34896","26.43271","22.5965","21.77026","24.76194","27.22808","23.92788","24.59215","21.87713","21.37644","20.91351","20.61712","19.28395",
"전체","경상남도","20~29세","운수업","","4.69149","3.44617","4.75874","7.78609","6.60845","4.73766","4.54757","4.33706","6.28809","5.23285","4.78868","4.51613","5.07601","6.22868","7.00766","7.40491","9.24","6.95265","8.2699","5.78413",
"전체","경상남도","20~29세","숙박 및 음식점업","","15.20787","15.16634","15.02449","13.69263","14.2285","18.45508","25.87573","25.89704","21.9946","25.69445","19.55003","21.18292","23.51937","25.46201","23.79314","21.16489","30.72406","20.1419","25.19504","26.99907",
"전체","경상남도","20~29세","출판,영상,방송통신 및 정보서비스업","","2.91512","2.39923","3.17735","3.40292","3.63871","4.09071","3.42235","5.01088","3.81866","2.12906","3.12478","3.28707","3.06322","2.6418","2.60749","2.27098","3.61396","4.0912","4.58798","2.71633",
"전체","경상남도","20~29세","금융 및 보험업","","4.158","5.81052","3.79246","2.48983","2.81781","3.35318","5.62704","7.02207","5.29886","4.87281","5.37088","4.15801","4.05152","3.18283","5.02272","4.30667","3.07735","2.19398","1.98949","2.76613",
"전체","경상남도","20~29세","부동산업 및 임대업","","1.36065",".40511",".82609",".79746",".60033","1.22537",".98116","1.18128","4.59594","1.40266",".2889",".54576",".69859","1.21564",".64175",".3034",".38169",".63911","1.22784",".4436",
"전체","경상남도","20~29세","전문,과학 및 기술서비스업","","6.60525","6.09765","6.54409","8.61013","6.48767","5.22204","5.61763","5.9794","4.75374","5.84303","4.47233","5.23951","6.18208","4.54849","4.35091","5.27897","7.26283","4.8267","3.75908","4.70162",
"전체","경상남도","20~29세","사업시설관리 및 사업지원 서비스업","","7.37478","4.66828","5.62011","5.55018","4.31193","4.63468","4.5058","4.42101","6.82007","5.77858","4.79639","5.42087","4.72059","4.08185","3.73299","5.72258","5.60844","4.52125","3.53264","3.74088",
"전체","경상남도","20~29세","공공행정,국방 및 사회보장행정","","4.77021","4.36039","4.32172","4.60401","4.21625","4.1252","3.14358","2.99941","6.67707","6.43569","6.40623","7.14155","7.0213","6.82014","5.41502","6.75304","8.66919","8.33879","8.24332","6.83851",
"전체","경상남도","20~29세","교육서비스업","","17.32975","18.55102","20.10461","20.94099","15.77316","19.68508","17.69914","17.0993","18.55314","12.03724","12.42244","15.68748","16.73625","16.00479","12.95591","12.12866","11.31232","12.53596","12.51429","13.47799",
"전체","경상남도","20~29세","보건업 및 사회복지서비스업","","22.16013","25.35906","23.15758","23.4183","20.06235","25.81402","26.95551","25.60527","22.1688","20.09847","20.1717","21.80367","23.13719","21.443","22.55307","18.97755","21.88902","26.73935","24.49446","21.55577",
"전체","경상남도","20~29세","예술,스포츠 및 여가관련 서비스업","","3.12577","2.37942","2.3472","5.00367","5.18378","5.67873","5.73512","6.56559","5.93641","6.54925","7.19377","6.59483","6.7764","4.784","5.41653","5.57572","5.14935","8.02584","5.62304","7.16201",
"전체","경상남도","20~29세","협회 및 단체,수리 기타 개인서비스업","","7.7905","5.48616","5.28007","6.80228","4.92868","8.44528","9.89698","9.22808","5.46032","6.61384","9.42933","7.82267","10.06122","7.84668","7.02988","6.19813","6.88962","6.35963","7.1446","6.08989",
"전체","경상남도","20~29세","가구내 고용활동 및 달리 분류되지 않는 자가소비생산활동","",".06585",".05536","0","0","0",".25252",".21715",".04024","0",".02737","0","0","0","0","0","0","0","0","0","0",
"전체","경상남도","20~29세","국제 및 외국기관","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","-","-","0","0","0",
"전체","경상남도","30~39세","합계","","367.53689","373.23984","379.99449","370.91691","359.64536","351.59205","332.90003","332.14556","340.9412","338.45439","346.58479","346.34333","353.3412","342.17457","323.22433","318.23154","299.29839","277.81417","282.63821","278.72101",
"전체","경상남도","30~39세","농림어업","","5.29804","6.11858","5.72178","5.62673","4.90699","4.82515","4.2276","4.84629","5.38937","4.83422","7.13045","6.42723","5.25194","5.94576","4.10102","5.28721","5.36584","8.10365","7.04513","6.93648",
"전체","경상남도","30~39세","광업","","0","0",".001","0","0","0","0","0",".001","0","0","0","0","0","0","0","0",".001",".001","0",
"전체","경상남도","30~39세","제조업","","126.57517","129.54196","135.65785","135.31186","136.24665","128.86063","123.52781","116.75521","115.37363","116.25719","116.4085","114.46485","109.71303","112.60457","107.11539","98.44561","94.85083","80.48869","92.65747","86.19188",
"전체","경상남도","30~39세","전기,가스,증기 및 수도사업","","2.04945","1.97946","1.56908","3.53482","3.63618","2.86335","1.39505","1.73609","1.78887","1.12946","1.03497",".85419","1.29099","1.77368","1.64254",".98868",".36457",".35698",".38033","1.36924",
"전체","경상남도","30~39세","하수·폐기물처리,원료재생 및 환경복원업","","2.69351","2.81001","2.11228","2.73664","3.81513","3.64624","2.07228","2.40121","2.29398",".73131","1.49345","3.2655","3.10535","3.17505","2.39132","1.76968","3.57079","2.89674","2.08433","1.97636",
"전체","경상남도","30~39세","건설업","","22.12893","19.5791","17.49948","14.25487","15.01089","14.21951","14.22846","15.02463","16.15324","14.7125","15.66014","15.0566","14.02157","17.62346","16.16945","17.65411","15.72852","16.81161","13.055","13.91317",
"전체","경상남도","30~39세","도소매업","","40.32226","42.43195","47.27368","47.94309","39.47935","37.71142","37.75979","38.0878","40.70868","42.70144","38.71153","35.93703","42.13199","37.53346","39.01043","35.41969","35.1498","31.79261","29.12986","26.71537",
"전체","경상남도","30~39세","운수업","","17.22879","14.0259","15.89765","15.04629","18.08943","17.05993","15.74509","15.7037","13.58705","16.27149","15.17769","14.75371","15.69043","13.59935","15.79017","16.57612","14.18379","14.91104","14.29895","15.36163",
"전체","경상남도","30~39세","숙박 및 음식점업","","15.2833","15.07965","13.47261","15.34966","12.86316","17.06423","13.9196","15.95535","20.34689","21.32464","19.40748","19.98077","24.43014","25.71868","20.35958","21.83651","18.96515","15.94789","17.48267","18.50956",
"전체","경상남도","30~39세","출판,영상,방송통신 및 정보서비스업","","8.65191","6.61705","7.19067","6.39247","5.31453","7.32091","6.19536","5.40154","6.16226","4.15183","3.73955","3.43884","3.87545","2.95862","3.27145","3.15207","2.9784","2.91621","2.71251","3.69323",
"전체","경상남도","30~39세","금융 및 보험업","","9.60516","8.78983","9.09122","10.10797","12.55744","11.10411","10.04278","8.09751","8.66801","7.91596","9.17929","9.7829","9.77629","10.28687","9.18042","9.60675","8.86531","7.81554","7.53687","6.78107",
"전체","경상남도","30~39세","부동산업 및 임대업","","3.46003","3.40018","3.20651","1.77223","2.55052","2.92741","2.20734","2.05319","2.66777","1.53533","3.04095","1.86769","1.24508","1.17717","1.33439",".776","1.00267","1.70586",".58302","1.1127",
"전체","경상남도","30~39세","전문,과학 및 기술서비스업","","13.23734","16.75494","15.80857","13.0335","11.97186","13.44073","11.54588","11.4842","9.32086","10.26946","10.70433","10.4693","11.16016","11.12379","10.94167","11.41617","10.52508","9.80931","8.49698","10.89338",
"전체","경상남도","30~39세","사업시설관리 및 사업지원 서비스업","","5.37029","5.59222","8.38252","5.5029","6.68466","6.85999","6.50482","7.97793","9.61711","7.93614","8.79861","8.81442","8.88569","8.43752","6.43995","7.80905","8.23739","5.8632","6.48099","7.25819",
"전체","경상남도","30~39세","공공행정,국방 및 사회보장행정","","17.03242","16.69649","18.58911","17.21771","16.51595","13.24491","16.7234","17.65409","16.38446","19.29717","19.89381","19.84853","18.62658","13.86177","14.42529","15.99542","15.72346","13.74986","17.41933","17.68255",
"전체","경상남도","30~39세","교육서비스업","","30.762","35.35625","31.38829","30.90727","27.60942","27.77783","26.70594","25.76129","29.3103","28.72254","29.2578","35.31727","36.2693","29.64741","28.59087","26.81003","24.52601","25.68246","24.92156","20.21533",
"전체","경상남도","30~39세","보건업 및 사회복지서비스업","","28.45207","30.71984","32.54363","31.05415","26.44397","27.53918","24.66445","28.72711","27.08961","23.89665","27.59979","27.38438","27.3851","27.57397","26.19936","29.17918","25.71522","26.83067","23.04674","26.86147",
"전체","경상남도","30~39세","예술,스포츠 및 여가관련 서비스업","","5.90377","3.82466","4.62857","4.48639","4.79213","4.32388","3.88919","2.84253","4.16272","4.33797","6.10168","5.38117","7.20503","6.3517","4.88464","3.45206","3.64291","3.59333","5.62294","4.18766",
"전체","경상남도","30~39세","협회 및 단체,수리 기타 개인서비스업","","13.37536","13.92176","9.96","10.41968","11.06313","10.80265","11.5452","11.47703","11.02817","11.78561","13.24477","13.29896","13.27709","12.78176","11.37641","12.05721","9.90267","8.53751","9.68252","9.06174",
